Ticker,BaselineCapT,BaselineNetIB,IncrementalNetIB,ScenarioCapT,AppliedPE,PVIncrementalNI
MSFT,3.823,88.0,91.32032000000001,6.45553152,36.0,983.4088932693696
NVDA,4.47,44.0,154.12800000000004,6.340096000000002,32.0,1659.7712962659507
AAPL,3.775,97.0,62.619648000000005,5.427068032,34.0,674.337526813282
GOOGL,2.2,80.0,58.705920000000006,4.438589439999999,32.0,632.191431387452
AMZN,2.353,55.0,50.09571840000001,3.9936372992000004,38.0,539.4700214506256
TSLA,1.416,15.0,34.246752,3.20103888,65.0,368.7959096331524
META,1.897,47.0,45.660160000000005,2.68714464,29.0,491.7044466346848
AMD,0.26111,2.6,36.400000000000006,1.3260000000000003,34.0,391.98377442178315
SKH,0.17804,8.0,37.88928000000001,1.10134272,24.0,408.02151056384014
ORCL,0.9325,15.0,19.568640000000006,0.8987846400000001,26.0,210.73047712915064
MU,0.18623,6.0,17.222400000000004,0.6966720000000002,30.0,185.4643229835637
ASML,0.37885,7.8,4.1636571428571445,0.4426553142857143,37.0,44.83752863338904
NEE,0.14892,7.3,1.91865024,0.20281030528000002,22.0,20.661531946990664
CEG,0.10517,4.0,1.75876272,0.13821030528,24.0,18.939737618074773
